feature,importance
suspicious_function_count,0.24671039964318003
digit_ratio,0.15318144032359687
malicious_keyword_count,0.09265041432420258
colon_count,0.06823691683104036
malicious_keyword_ratio,0.0626116235515183
special_char_ratio,0.0620241431398546
line_count,0.044044779986052295
has_hex,0.04291558798415942
dot_count,0.027011322197578395
entropy,0.02619507078931719
word_count,0.020115688419341193
uppercase_ratio,0.017432384475258265
script_length,0.016248517447695014
parenthesis_count,0.014603338820527698
brace_count,0.01454477226449631
variable_count,0.013750776269882078
string_literal_count,0.013039470996779969
for_count,0.01208525250800192
bracket_count,0.009731698337906387
pipeline_count,0.00889795264237914
control_flow_total,0.00803875462296444
if_count,0.007961997781815838
function_def_count,0.0075288808119681125
foreach_count,0.0038097302649337758
try_catch_count,0.002761379588161965
has_base64,0.0021713235702758224
while_count,0.0016518564688722873
has_unicode_escape,4.4525938239581525e-05
comment_ratio,0.0
